Type,Wanted station,#,CS,Info1,cx,Rx frequency MHz,KTBF dBm,Polar,Interferer,#,CS,Info1,Tx frequency MHz,Unwanted Pr dBm,Polar,TD dB,Cumulated TD dB,IRF dB,IRF from,XPD dB,Tx pow dBm,Tx BW kHz,Tx addloss dB,Tx losses dB,Tx antgain dB,Tx main OAA,Tx ant att dB,Rx BW kHz,Rx losses dB,Rx ant gain dB,Rx main OAA,Rx ant att dB,Distance m,Prop loss dB,Tx az,Tx tilt,Rx az,Rx tilt,Wind turbine unwanted power (dBm),Tx->Rx az,Tx->Rx tilt
Microwave (wanted),BOONSBORO,27,X_1020200_,FAA 201545,1,8125,-94,V,MD,6,AR  130766,FT MEADE,7901.167,-193.34,V,0,0,0,IRF MASK,0,22.73,94,0,0,62,135.2,72,30000,3.59,37.3,103.56,60.63,83758.52,179.14,144,38,14,0.1,-999,297.6,0.1
Microwave (wanted),BOONSBORO,27,X_1020200_,FAA 201545,1,8125,-94,V,MD,7,AR  130767,FT MEADE,7901.167,-191.34,V,0,0,0,IRF MASK,0,24.73,94,0,0,58,134.7,68,30000,3.59,37.3,103.56,60.63,83758.52,179.14,145,38,14,0.1,-999,297.6,0.1
Microwave (wanted),BOONSBORO,27,X_1020200_,FAA 201545,1,8125,-94,V,MD,8,AR  210709,FT MEADE,7901.302,-201.81,V,0,0,0,IRF MASK,0,13.73,94,0,0,58,164.45,68,30000,3.59,37.3,103.56,60.63,83758.52,178.61,107,11,14,0.1,-999,297.6,0.1
Microwave (wanted),BOONSBORO,27,X_1020200_,FAA 201545,1,8125,-94,V,MD,9,AR  130729,FT DETRICK,7976.687,-202.12,V,0,0,0,IRF MASK,0,24.73,94,0,0,58,28.66,67.43,30000,3.59,37.3,79.14,41.65,18460.54,209.47,249,17,14,0.1,-999,273.2,1.3
Microwave (wanted),BOONSBORO,27,X_1020200_,FAA 201545,1,8125,-94,V,MD,10,AR  170763,FT MEADE,7998.822,-194.76,V,0,0,0,IRF MASK,0,21.02,40000,0,0,58,51,68,30000,3.59,37.3,103.56,60.63,83758.52,178.85,249,16,14,0.1,-999,297.6,0.1
Microwave (wanted),BOONSBORO,27,X_1020200_,FAA 201545,1,8125,-94,V,MD,11,AR  210737,FT MEADE,8023.562,-193.1,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,51,68,30000,3.59,37.3,103.56,60.63,83758.52,178.91,249,16,14,0.1,-999,297.6,0.1
Microwave (wanted),BOONSBORO,27,X_1020200_,FAA 201545,1,8125,-94,V,MD,12,AR  170790,FT DETRICK,8026.167,-204.56,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,120.53,68,30000,3.59,37.3,79.14,41.65,18460.61,209.34,144,38,14,0.1,-999,273.2,1.3
Microwave (wanted),BOONSBORO,27,X_1020200_,FAA 201545,1,8125,-94,V,MD,13,AR  180715,FT MEADE,8026.167,-193.11,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,135.2,68,30000,3.59,37.3,103.56,60.63,83758.52,178.91,144,38,14,0.1,-999,297.6,0.1
Microwave (wanted),BOONSBORO,27,X_1020200_,FAA 201545,1,8125,-94,V,MD,14,AR  180711,FT MEADE,8045.237,-190.48,V,0,0,0,IRF MASK,0,25.41,5510,0,0,58,51,68,30000,3.59,37.3,103.56,60.63,83758.52,178.96,249,16,14,0.1,-999,297.6,0.1
Microwave (wanted),BOONSBORO,27,X_1020200_,FAA 201545,1,8125,-94,V,MD,15,AR  180714,FT MEADE,8078.271,-185.43,V,0,0,0,IRF MASK,0,30.54,7150,0,0,58,51,68,30000,3.59,37.3,103.56,60.63,83758.52,179.04,249,16,14,0.1,-999,297.6,0.1
Microwave (wanted),BOONSBORO,27,X_1020200_,FAA 201545,1,8125,-94,V,MD,16,AR  170772,FT MEADE,8123.35,-191.37,V,0,0,0,IRF MASK,0,24.7,741.42,0,0,57,135.2,67,30000,3.59,37.3,103.56,60.63,83758.52,179.14,144,38,14,0.1,-999,297.6,0.1
Microwave (wanted),BOONSBORO,27,X_1020200_,FAA 201545,1,8125,-94,V,MD,17,AR  130819,FT MEADE,8143.442,-194.24,V,0,0,0,IRF MASK,0,21.88,1940,0,0,58,135.2,68,30000,3.59,37.3,103.56,60.63,83758.52,179.19,144,38,14,0.1,-999,297.6,0.1
Microwave (wanted),BOONSBORO,27,X_1020200_,FAA 201545,1,8125,-94,V,MD,18,AR  210736,FT MEADE,8151.167,-193.41,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,51,68,30000,3.59,37.3,103.56,60.63,83758.52,179.21,249,16,14,0.1,-999,297.6,0.1
Microwave (wanted),BOONSBORO,27,X_1020200_,FAA 201545,1,8125,-94,V,MD,19,AR  170769,FT MEADE,8180.4,-201.21,V,0,0,0,IRF MASK,0,15,1000,0,0,57,135.2,67,30000,3.59,37.3,103.56,60.63,83758.52,179.28,144,38,14,0.1,-999,297.6,0.1
Microwave (wanted),BOONSBORO,27,X_1020200_,FAA 201545,1,8125,-94,V,MD,20,AR  210711,FT MEADE,8276.302,-202.7,V,0,0,0,IRF MASK,0,13.73,94,0,0,58,164.45,68,30000,3.59,37.3,103.56,60.63,83758.52,179.5,107,11,14,0.1,-999,297.6,0.1
Microwave (wanted),HIGHFIELD CASCADE,28,X_1020200_,FAA 201547,1,7765,-94,V,MD,1,N   153584,ST INIGOES,7900,-149.23,V,0,0,0,IRF MASK,0,53.38,6880,0,0,40,139.84,50,30000,3.59,37.2,42.21,40.58,197297.98,185.64,144.3,39,194,-0.4,-999,152.5,-0.5
Microwave (wanted),HIGHFIELD CASCADE,28,X_1020200_,FAA 201547,1,7765,-94,V,MD,2,AR  120812,FT MEADE,7901.167,-169.13,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,68.28,68,30000,3.59,37.2,58.13,41.95,92706.77,173.52,249,16,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,28,X_1020200_,FAA 201547,1,7765,-94,V,MD,3,AR  130712,FT DETRICK,7901.167,-196.68,V,0,0,0,IRF MASK,0,24.73,94,0,0,58,136.49,68,30000,3.59,37.2,30.98,37.23,30041.36,207.79,142,40,194,-0.4,-999,163.1,1
Microwave (wanted),HIGHFIELD CASCADE,28,X_1020200_,FAA 201547,1,7765,-94,V,MD,4,AR  130728,FT DETRICK,7901.167,-198.68,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,93.96,68,30000,3.59,37.2,30.98,37.23,30041.36,207.79,249,17,194,-0.4,-999,163.1,1
Microwave (wanted),HIGHFIELD CASCADE,28,X_1020200_,FAA 201547,1,7765,-94,V,MD,5,AR  130756,FT DETRICK,7901.167,-196.68,V,0,0,0,IRF MASK,0,24.73,94,0,0,58,93.96,68,30000,3.59,37.2,30.98,37.23,30041.36,207.79,249,17,194,-0.4,-999,163.1,1
Microwave (wanted),HIGHFIELD CASCADE,28,X_1020200_,FAA 201547,1,7765,-94,V,MD,6,AR  130766,FT MEADE,7901.167,-169.13,V,0,0,0,IRF MASK,0,22.73,94,0,0,62,141.44,72,30000,3.59,37.2,58.13,41.95,92706.77,173.52,144,38,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,28,X_1020200_,FAA 201547,1,7765,-94,V,MD,7,AR  130767,FT MEADE,7901.167,-167.13,V,0,0,0,IRF MASK,0,24.73,94,0,0,58,141.26,68,30000,3.59,37.2,58.13,41.95,92706.77,173.52,145,38,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,28,X_1020200_,FAA 201547,1,7765,-94,V,MD,8,AR  210709,FT MEADE,7901.302,-178.69,V,0,0,0,IRF MASK,0,13.73,94,0,0,58,148.85,68,30000,3.59,37.2,58.13,41.95,92706.77,174.07,107,11,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,28,X_1020200_,FAA 201547,1,7765,-94,V,MD,9,AR  130729,FT DETRICK,7976.687,-196.88,V,0,0,0,IRF MASK,0,24.73,94,0,0,58,93.96,68,30000,3.59,37.2,30.98,37.23,30041.36,207.99,249,17,194,-0.4,-999,163.1,1
Microwave (wanted),HIGHFIELD CASCADE,28,X_1020200_,FAA 201547,1,7765,-94,V,MD,10,AR  170763,FT MEADE,7998.822,-171.63,V,0,0,0,IRF MASK,0,21.02,40000,0,0,58,68.28,68,30000,3.59,37.2,58.13,41.95,92706.77,174.3,249,16,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,29,X_1020202,FAA 201663,1,7915,-94,H,MD,1,N   153584,ST INIGOES,7900,-118.44,V,0.02,0.02,3,IRF MASK,0,53.38,6880,0,0,40,139.84,50,30000,1.2,40.5,1.62,12.48,197297.98,185.64,144.3,39,153.4,-0.6,-999,152.5,-0.5
