Type,Wanted station,#,CS,Info1,cx,Rx frequency MHz,KTBF dBm,Polar,Interferer,#,CS,Info1,Tx frequency MHz,Unwanted Pr dBm,Polar,TD dB,Cumulated TD dB,IRF dB,IRF from,XPD dB,Tx pow dBm,Tx BW kHz,Tx addloss dB,Tx losses dB,Tx antgain dB,Tx main OAA,Tx ant att dB,Rx BW kHz,Rx losses dB,Rx ant gain dB,Rx main OAA,Rx ant att dB,Distance m,Prop loss dB,Tx az,Tx tilt,Rx az,Rx tilt,Wind turbine unwanted power (dBm),Tx->Rx az,Tx->Rx tilt
Microwave (wanted),MOUNT AIRY,24,X_1008933,FAA 110534,1,8125,-94,H,MD,19,AR  170769,FT MEADE,8180.4,-206.21,V,0,0,0,IRF MASK,6,15,1000,0,0,57,139.52,67,30000,0,40.3,174,66,44837.99,179.51,144,38,302,0,-999,308,0.2
Microwave (wanted),MOUNT AIRY,24,X_1008933,FAA 110534,1,8125,-94,H,MD,20,AR  210711,FT MEADE,8276.302,-207.69,V,0,0,0,IRF MASK,6,13.73,94,0,0,58,156.3,68,30000,0,40.3,174,66,44837.99,179.72,107,11,302,0,-999,308,0.2
Microwave (wanted),BOONSBORO,25,X_1020200,FAA 201545,1,8395,-94,V,MD,19,AR  170769,FT MEADE,8180.4,-219.32,V,0,0,0,IRF MASK,0,15,1000,0,0,57,135.2,67,30000,3.59,37.3,103.56,60.63,83758.52,197.39,144,38,14,0.1,-999,297.6,0.1
Microwave (wanted),BOONSBORO,25,X_1020200,FAA 201545,1,8395,-94,V,MD,20,AR  210711,FT MEADE,8276.302,-220.83,V,0,0,0,IRF MASK,0,13.73,94,0,0,58,164.45,68,30000,3.59,37.3,103.56,60.63,83758.52,197.63,107,11,14,0.1,-999,297.6,0.1
Microwave (wanted),BOONSBORO,25,X_1020200,FAA 201545,1,8395,-94,V,MD,21,AR  170791,FT DETRICK,8398.562,-207.15,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,120.53,68,30000,3.59,37.3,79.14,41.65,18460.61,211.93,144,38,14,0.1,-999,273.2,1.3
Microwave (wanted),BOONSBORO,25,X_1020200,FAA 201545,1,8395,-94,V,MD,22,AR  180716,FT MEADE,8398.562,-212.12,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,135.2,68,30000,3.59,37.3,103.56,60.63,83758.52,197.92,144,38,14,0.1,-999,297.6,0.1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,1,N   153584,ST INIGOES,7900,-178.25,V,0,0,0,IRF MASK,0,53.38,6880,0,0,40,139.84,50,30000,3.59,37.2,42.21,40.58,197297.98,214.66,144.3,39,194,-0.4,-999,152.5,-0.5
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,2,AR  120812,FT MEADE,7901.167,-190.98,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,68.28,68,30000,3.59,37.2,58.13,41.95,92706.77,195.37,249,16,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,3,AR  130712,FT DETRICK,7901.167,-200.9,V,0,0,0,IRF MASK,0,24.73,94,0,0,58,136.49,68,30000,3.59,37.2,30.98,37.23,30041.36,212.01,142,40,194,-0.4,-999,163.1,1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,4,AR  130728,FT DETRICK,7901.167,-202.9,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,93.96,68,30000,3.59,37.2,30.98,37.23,30041.36,212.01,249,17,194,-0.4,-999,163.1,1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,5,AR  130756,FT DETRICK,7901.167,-200.9,V,0,0,0,IRF MASK,0,24.73,94,0,0,58,93.96,68,30000,3.59,37.2,30.98,37.23,30041.36,212.01,249,17,194,-0.4,-999,163.1,1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,6,AR  130766,FT MEADE,7901.167,-190.98,V,0,0,0,IRF MASK,0,22.73,94,0,0,62,141.44,72,30000,3.59,37.2,58.13,41.95,92706.77,195.37,144,38,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,7,AR  130767,FT MEADE,7901.167,-188.98,V,0,0,0,IRF MASK,0,24.73,94,0,0,58,141.26,68,30000,3.59,37.2,58.13,41.95,92706.77,195.37,145,38,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,8,AR  210709,FT MEADE,7901.302,-200.85,V,0,0,0,IRF MASK,0,13.73,94,0,0,58,148.85,68,30000,3.59,37.2,58.13,41.95,92706.77,196.23,107,11,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,9,AR  130729,FT DETRICK,7976.687,-201.1,V,0,0,0,IRF MASK,0,24.73,94,0,0,58,93.96,68,30000,3.59,37.2,30.98,37.23,30041.36,212.21,249,17,194,-0.4,-999,163.1,1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,10,AR  170763,FT MEADE,7998.822,-193.8,V,0,0,0,IRF MASK,0,21.02,40000,0,0,58,68.28,68,30000,3.59,37.2,58.13,41.95,92706.77,196.48,249,16,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,11,AR  210737,FT MEADE,8023.562,-192.15,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,68.28,68,30000,3.59,37.2,58.13,41.95,92706.77,196.54,249,16,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,12,AR  170790,FT DETRICK,8026.167,-203.36,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,139.02,68,30000,3.59,37.2,30.98,37.23,30041.41,212.47,144,38,194,-0.4,-999,163.1,1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,13,AR  180715,FT MEADE,8026.167,-192.16,V,0,0,0,IRF MASK,0,22.73,94,0,0,58,141.44,68,30000,3.59,37.2,58.13,41.95,92706.77,196.54,144,38,194,-0.4,-999,136.4,0.1
Microwave (wanted),HIGHFIELD CASCADE,26,X_1020200,FAA 201547,1,8035,-94,V,MD,14,AR  180711,FT MEADE,8045.237,-189.52,V,0,0,0,IRF MASK,0,25.41,5510,0,0,58,68.28,68,30000,3.59,37.2,58.13,41.95,92706.77,196.59,249,16,194,-0.4,-999,136.4,0.1
