Type;Wanted station;#;CS;Info1;cx;Rx frequency MHz;KTBF dBm;Polar;Interferer;#;CS;Info1;Tx frequency MHz;Unwanted Pr dBm;Polar;TD dB;Cumulated TD dB;IRF dB;IRF from;XPD dB;Tx pow dBm;Tx BW kHz;Tx addloss dB;Tx losses dB;Tx antgain dB;Tx main OAA;Tx ant att dB;Rx BW kHz;Rx losses dB;Rx ant gain dB;Rx main OAA;Rx ant att dB;Distance m;Prop loss dB;Tx az;Tx tilt;Rx az;Rx tilt;Wind turbine unwanted power (dBm);Tx->Rx az;Tx->Rx tilt
Microwave (wanted);GREELEY (GXY);2;1008222;FAA 231874;2;8092.500000;-102;V;Schriever;778;AF 229359;;8092.500000;-179.20;H;0.00;0.00;-0.0;IRF MASK;0.0;25.90;3850.00;0.00;0.00;58.00;121.59;68.00;5000.00;2.32;37.60;0.90;1.99;161303.33;228.39;224.0;35.0;174.8;0.0;-999.0;174.2;-0.7
Microwave (wanted);GREELEY (GXY);2;1008222;FAA 231874;2;8092.500000;-102;V;Schriever;779;AF 229360;;8092.500000;-177.80;H;0.00;0.00;-0.0;IRF MASK;0.0;27.30;2700.00;0.00;0.00;58.00;121.59;68.00;5000.00;2.32;37.60;0.90;1.99;161303.33;228.39;224.0;35.0;174.8;0.0;-999.0;174.2;-0.7
Microwave (wanted);GREELEY (GXY);2;1008222;FAA 231874;2;8092.500000;-102;V;Schriever;780;AF 229361;;8092.500000;-177.80;H;0.00;0.00;-0.0;IRF MASK;0.0;27.30;2700.00;0.00;0.00;58.00;121.59;68.00;5000.00;2.32;37.60;0.90;1.99;161303.33;228.39;224.0;35.0;174.8;0.0;-999.0;174.2;-0.7
Microwave (wanted);GREELEY (GXY);2;1008222;FAA 231874;2;8092.500000;-102;V;Schriever;781;AF 229362;;8092.500000;-178.80;H;0.00;0.00;-0.0;IRF MASK;0.0;26.30;2700.00;0.00;0.00;58.00;121.59;68.00;5000.00;2.32;37.60;0.90;1.99;161303.33;228.39;224.0;35.0;174.8;0.0;-999.0;174.2;-0.7
Microwave (wanted);GREELEY (GXY);2;1008222;FAA 231874;2;8092.500000;-102;V;Schriever);782;AF 229363;;8092.500000;-178.80;H;0.00;0.00;-0.0;IRF MASK;0.0;26.30;2700.00;0.00;0.00;58.00;121.59;68.00;5000.00;2.32;37.60;0.90;1.99;161303.33;228.39;224.0;35.0;174.8;0.0;-999.0;174.2;-0.7
Microwave (wanted);GREELEY (GXY);2;1008222;FAA 231874;2;8092.500000;-102;V;FE Warren;783;AF 998675;;8092.500000;-149.51;H;0.00;0.00;9.0;IRF MASK;0.0;87.00;40000.00;0.00;0.00;51.00;56.17;61.00;5000.00;2.32;37.60;178.17;42.55;101972.05;210.20;221.0;33.0;174.8;0.0;-999.0;352.9;-0.5
Microwave (wanted);GREELEY (GXY);2;1008222;FAA 231874;2;8092.500000;-102;V;FE Warren;784;AF 998676;;8092.500000;-149.51;H;0.00;0.00;9.0;IRF MASK;0.0;87.00;40000.00;0.00;0.00;51.00;58.10;61.00;5000.00;2.32;37.60;178.17;42.55;101972.05;210.20;117.0;19.0;174.8;0.0;-999.0;352.9;-0.5
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;Schriever;758;AF 156310;;8092.500000;-179.42;H;0.00;0.00;4.4;IRF MASK;0.0;58.70;18700.00;0.00;0.00;49.00;130.35;59.00;10000.00;4.10;40.50;10.33;30.25;163936.94;229.90;116.0;20.8;171.9;0.1;-999.0;161.9;-0.7
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;Schriever;759;AF 157842;;7998.822000;-202.93;H;0.00;0.00;0.0;IRF MASK;0.0;32.00;40000.00;0.00;0.00;58.00;112.35;68.00;10000.00;4.10;40.50;10.33;30.25;163936.92;231.08;224.0;35.0;171.9;0.1;-999.0;161.9;-0.7
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;Schriever;759;AF 157842;;8092.500000;-209.24;H;0.00;0.00;6.0;IRF MASK;0.0;32.00;40000.00;0.00;0.00;58.00;112.35;68.00;10000.00;4.10;40.50;10.33;30.25;163936.92;231.36;224.0;35.0;171.9;0.1;-999.0;161.9;-0.7
